on x=-17..30,y=-5..41,z=-33..14
on x=-43778..-14918,y=21201..54282,z=-71979..-55957
on x=3075..25425,y=-15073..4717,z=78936..85628
on x=-67623..-53713,y=-48485..-26975,z=23821..45682
on x=-64146..-56523,y=-48647..-25290,z=26299..45997
on x=-3954..8421,y=59505..67503,z=37022..49921
on x=-82330..-78220,y=-14054..865,z=-18531..330
on x=-1873..19815,y=51032..78566,z=32296..40363
on x=-93531..-68580,y=-9673..4118,z=-18722..9788
on x=-17876..1152,y=-45526..-37909,z=56244..70162
on x=-36020..-18913,y=12321..24619,z=57190..85047
on x=-2926..35184,y=8300..39577,z=73289..91561
on x=-13132..-4756,y=953..16126,z=59731..85385
on x=47290..55719,y=-59348..-53479,z=-38694..-20160
on x=43641..74433,y=-62450..-51991,z=-26805..-18740
on x=20730..29930,y=-75360..-59854,z=20713..48626
on x=41726..71547,y=50966..61435,z=-36822..-504
on x=-13380..14580,y=65011..83024,z=-10574..22072
on x=-87386..-48952,y=6420..39083,z=-46451..-21996
on x=4685..20078,y=49552..74497,z=-53318..-30700
on x=8033..17581,y=33825..53484,z=48195..79185
on x=-37661..-14773,y=-89430..-66830,z=7625..36255
on x=33542..57289,y=-56297..-30324,z=41921..59597
on x=-67185..-46878,y=-53926..-37601,z=-17248..-7143
on x=-81156..-54225,y=15448..29423,z=-53592..-25021
on x=-35129..-18783,y=-7469..5792,z=-86423..-62398
on x=-71524..-57698,y=87..24562,z=46248..67476
on x=516..19756,y=24637..51966,z=48507..69853
on x=-8487..22457,y=28464..53088,z=60317..84912
on x=69500..91874,y=14712..35818,z=152..20266
on x=53364..72701,y=-46797..-27366,z=-26371..-11725
on x=54260..84448,y=-27150..430,z=18983..40394
on x=-12431..12581,y=-69153..-41051,z=-54997..-51763
on x=-80983..-70570,y=-45277..-17136,z=-6774..12576
on x=-75185..-53966,y=5836..39716,z=-53941..-44172
on x=57508..84353,y=-6405..2498,z=-39164..-30583
on x=-79078..-49401,y=-28840..-2834,z=25773..58903
on x=55608..76373,y=42766..53267,z=-26862..-4774
on x=-47017..-43158,y=33489..37168,z=-72607..-40886
on x=-24532..-11893,y=-65858..-49496,z=-73835..-50690
on x=49848..71949,y=-55525..-34693,z=-18818..-9647
on x=40386..53496,y=-35813..-23810,z=-71133..-48586
on x=11375..46127,y=50632..72822,z=10548..45013
on x=1005..19581,y=-88270..-71946,z=-17214..17851
on x=5216..32277,y=-78359..-62928,z=44774..60236
off x=46680..64162,y=-38906..-6137,z=45551..66232
off x=-45250..-15757,y=57124..75654,z=-38739..-5888
on x=36723..68172,y=-66188..-35045,z=-33695..-4348
on x=-37772..-25262,y=-56884..-32137,z=-76914..-51201
on x=-55441..-30064,y=29675..37388,z=52897..58534
on x=26770..44230,y=14244..34100,z=55785..89601
on x=24588..51906,y=-34923..-19312,z=-69602..-60522
on x=-62678..-44645,y=34489..66970,z=-47673..-31393
on x=-69920..-54271,y=-55441..-45788,z=7080..10729
off x=-35051..-2008,y=73923..78740,z=-26204..-22563
off x=-72563..-44502,y=-61734..-51255,z=10353..38811
on x=45046..71517,y=-10436..1532,z=53820..67233
off x=24506..36750,y=34942..51456,z=-73564..-46949
off x=-33009..-17849,y=73572..76806,z=-16617..-8929
off x=-21791..-8299,y=-24828..-12143,z=-83643..-66285
off x=-33706..-6452,y=-61608..-37549,z=-57785..-51461
off x=44601..59849,y=-8476..19780,z=52911..72911
off x=-47830..-17802,y=64453..79381,z=-16522..1042
on x=-74186..-58674,y=33496..52242,z=-6396..12838
on x=45790..59316,y=-60560..-48866,z=-55231..-30667
on x=33944..63551,y=-35625..-19664,z=-57911..-45819
on x=45102..70725,y=42514..70964,z=-18080..4007
off x=47574..59721,y=-17822..-5044,z=-79636..-54291
off x=50656..65878,y=43775..77544,z=-15430..8900
off x=12879..20171,y=59516..82526,z=-45066..-16029
off x=-22548..-5351,y=70288..96596,z=313..11878
off x=-688..21839,y=49646..77142,z=48357..66686
on x=-70564..-49789,y=33731..48181,z=5457..10369
on x=7152..32314,y=-88039..-57391,z=-29648..-8949
on x=-17577..13644,y=66587..86588,z=-49223..-36098
on x=-7966..-1334,y=25989..36014,z=62541..75289
off x=-27013..-4027,y=-59031..-32325,z=57865..60373
on x=-19595..-4760,y=16896..48627,z=64861..76149
on x=-49704..-48758,y=-16061..13390,z=46925..80215
on x=33187..62618,y=37622..68243,z=-55439..-29542
on x=38350..55889,y=44819..63622,z=38905..54319
off x=-80336..-61638,y=-52125..-38229,z=-10926..2480
on x=6025..20743,y=-72156..-63577,z=38615..49846
off x=-6154..-840,y=-29241..-11066,z=65672..88208
on x=29828..59574,y=-18982..-16544,z=57910..70496
on x=-43459..-6666,y=-89802..-60580,z=13054..19797
off x=-43781..-9897,y=64178..76846,z=8942..42437
on x=-4472..10671,y=-86608..-51767,z=22639..47612
on x=3768..33951,y=-44550..-38149,z=-66193..-59415
on x=-35364..-10304,y=-90692..-67605,z=-31298..-24504
off x=-14444..5686,y=-89893..-71717,z=-6879..6781
off x=26819..52985,y=10171..27823,z=-69132..-52681
on x=36030..48738,y=-77160..-61766,z=2783..22274
on x=44434..64616,y=38149..61555,z=-24585..5615
on x=-35868..-6813,y=-85539..-65369,z=-5235..13775
off x=-49467..-23415,y=-58351..-42810,z=31447..44029
on x=39804..58166,y=-64956..-37809,z=-14428..15186
off x=45317..69602,y=39082..59213,z=12998..32731
on x=71582..81933,y=-14678..4584,z=-21311..181
off x=-34509..-919,y=7126..21758,z=67055..79680
on x=34385..61717,y=-74770..-45247,z=-43628..-28692
off x=-55336..-20133,y=56553..71054,z=5456..41256
on x=28315..46071,y=-80661..-52186,z=-5526..7009
on x=-16754..5283,y=75505..97875,z=602..8133
on x=25300..41263,y=-69698..-48323,z=2045..35190
off x=-51540..-39974,y=40773..58229,z=36261..63768
on x=41253..61744,y=-55610..-48283,z=-39793..-20872
on x=-40529..-15771,y=50148..59575,z=46265..55129
on x=169..15029,y=-50098..-32994,z=-74748..-54499
off x=57472..86208,y=-13314..21973,z=-36221..-11486
on x=-27093..-9850,y=59378..80015,z=-17022..-5405
on x=-51314..-42007,y=-16430..4632,z=56380..73485
on x=-15302..14938,y=-51540..-13529,z=58731..93038
off x=43084..59955,y=-45248..-14098,z=-58423..-49449
off x=-29167..6936,y=77624..89469,z=-28149..-5587
off x=17017..34481,y=35608..53725,z=37302..70109
on x=47710..78864,y=-39630..-25381,z=-45064..-26317
off x=-61132..-30892,y=-74316..-42213,z=21173..43405
off x=-62918..-28351,y=12596..34791,z=-67567..-44254
on x=-43011..-31758,y=53935..74836,z=-42604..-21842
off x=-32525..-15116,y=59720..66033,z=30969..57817
on x=-45265..-16149,y=-54838..-21895,z=-69323..-56560
off x=-34381..4503,y=-48799..-20771,z=-78034..-62507
on x=26646..47660,y=7034..17000,z=-79844..-55928
off x=-28075..6201,y=52844..70551,z=27884..62732
on x=-49052..-22112,y=60147..81111,z=-43464..-16402
on x=-80385..-63658,y=-18295..8776,z=-33578..-24065
on x=53066..74281,y=-53533..-34708,z=-16353..7500
off x=-68767..-42070,y=13445..28003,z=-59066..-39615
on x=-32072..419,y=-81014..-75365,z=-32886..-15188
off x=2412..20452,y=-69592..-54630,z=24851..62718
on x=-19865..2055,y=74625..81723,z=3309..31056
on x=-52500..-32892,y=-67821..-55573,z=-39571..-18391
off x=20526..42702,y=64923..79600,z=4253..8998
on x=53461..62782,y=-55404..-26352,z=41152..47996
on x=-65318..-49630,y=-63652..-30849,z=19029..28306
off x=21304..25532,y=-10325..7453,z=66836..89809
off x=-62144..-35231,y=-75496..-56711,z=-28403..-11907
on x=-13922..-3755,y=21933..41851,z=-87731..-66368
off x=-64869..-40046,y=-18450..-7963,z=54052..60923
off x=-52113..-31317,y=-57920..-37605,z=37684..53838
off x=-48819..-22169,y=-10589..-2097,z=-81028..-49054
on x=-81268..-63701,y=557..29402,z=722..33853
on x=24155..44165,y=50744..84109,z=23072..28544
on x=12798..14770,y=-90848..-72474,z=-6586..11271
on x=52054..67680,y=-47921..-35706,z=-32291..-10933
on x=-57532..-26185,y=-73775..-63338,z=-28311..9610
on x=68166..85537,y=-43145..-6535,z=-8681..13774
off x=2664..21912,y=-59025..-38994,z=60408..68797
off x=47518..79335,y=-46684..-39012,z=6600..34994
off x=17961..38484,y=-79876..-57485,z=-38898..-31042
on x=-17940..-6484,y=-37599..-34654,z=53247..75898
on x=-27407..965,y=49316..87350,z=36525..44626
on x=16157..38940,y=57674..76863,z=19178..42201
off x=-15695..1730,y=56450..90390,z=-44101..-24809
on x=-49681..-17181,y=-72608..-68627,z=-3756..-31
on x=605..35070,y=69103..92468,z=-13744..17842
on x=-7634..16555,y=-87766..-54082,z=14273..52571
on x=30253..37898,y=22571..38602,z=-67217..-61292
off x=-21692..-9268,y=62950..88697,z=-46233..-29033
off x=-31305..-12592,y=-38615..-23392,z=-68738..-59744
off x=-79902..-66062,y=22795..38065,z=-27573..-9710
off x=61115..76249,y=-37657..-19615,z=13509..23513
on x=23446..52194,y=-74471..-48844,z=-5732..22672
off x=-70565..-45363,y=-16045..14761,z=-74067..-59255
off x=-57630..-39467,y=58034..75704,z=-18844..18618
on x=69997..85462,y=-43727..-25274,z=-9370..6442
on x=-26342..-7117,y=7731..20424,z=-88359..-75439
off x=-73930..-57357,y=-11864..2825,z=-51165..-33131
on x=31041..58264,y=-46488..-27769,z=47170..57965
on x=7139..39065,y=24414..52459,z=-75194..-61839
on x=-23604..-14115,y=-24871..-3518,z=67637..87958
off x=-29243..-3494,y=73470..85640,z=7593..15405
on x=-16679..-4203,y=42731..60599,z=-76776..-53774
on x=-9160..16516,y=-7290..19385,z=-87964..-63215
off x=31827..48923,y=59103..67370,z=11866..29645
off x=6348..22353,y=-6630..21731,z=-91584..-66168
on x=-67139..-31021,y=48845..66917,z=-20563..1461
off x=-70256..-48418,y=-15073..6344,z=-58242..-53853
off x=-64819..-36548,y=21532..31451,z=-66273..-35287
off x=-45976..-37752,y=6373..18948,z=-77646..-65915
off x=-3930..6214,y=54212..86921,z=-54383..-24437
on x=23339..43764,y=-65542..-30989,z=-63178..-49857
on x=47895..68331,y=3566..17515,z=-70611..-52802
on x=-8831..18623,y=-14673..6465,z=-88226..-76474
on x=-78075..-48336,y=-42969..-20184,z=-40755..-24860
on x=-84261..-68600,y=-31786..-23783,z=-35363..-12813
on x=-10392..16751,y=-98554..-78158,z=-11931..1807
on x=72333..94619,y=-25632..2223,z=1939..28331
on x=-70178..-42768,y=32651..55444,z=-26911..-1204
off x=-33323..-9921,y=45415..73232,z=-55823..-49444
off x=5004..28102,y=-27779..-7156,z=-94925..-58711
on x=11524..29050,y=57586..71814,z=29368..63787
on x=-10669..20601,y=-59223..-41394,z=-63642..-56824
off x=63841..71722,y=34708..48908,z=-8292..18704
on x=21837..53826,y=58566..69266,z=27316..45690
off x=44654..63469,y=7379..34037,z=-55626..-34472
off x=43610..74232,y=-42743..-37254,z=-58168..-28711
off x=-49007..-29906,y=28535..56522,z=-66287..-56528
on x=-17314..9221,y=-50108..-27858,z=-83327..-52799
off x=-44113..-8274,y=6717..13864,z=73846..78512
on x=-66295..-65010,y=-54906..-32622,z=-6802..20402
off x=-62738..-37790,y=50808..82033,z=-13109..3325
off x=-36082..-22475,y=-9785..-2999,z=-90292..-59574
off x=48742..59924,y=-1321..8074,z=-77261..-48266
on x=47637..68285,y=13169..25005,z=37783..71524
off x=-58840..-40049,y=-64544..-53260,z=-30367..-14984
on x=-63042..-44942,y=-73622..-47726,z=-14972..5093
on x=-74025..-57631,y=-37647..-18180,z=-55748..-42435
off x=-74484..-39763,y=-54891..-40847,z=23437..39865
off x=-2849..10238,y=-58205..-20700,z=-89058..-52674
off x=58431..72744,y=30302..43014,z=3306..25067
on x=-85238..-54585,y=-26859..-8671,z=-39373..-14299
on x=-93728..-56111,y=-27601..-9400,z=-8563..8849
off x=-49270..-33340,y=39665..52326,z=-66339..-39338
off x=38118..50639,y=-21497..4716,z=-83801..-62657
on x=-56565..-28228,y=46150..78028,z=-30711..-11849
off x=67896..83797,y=570..19454,z=31901..44744
off x=12560..35845,y=-23339..-4035,z=-81868..-56305
off x=-68469..-46811,y=-31124..-11096,z=-62180..-41851
on x=-71683..-41914,y=44636..74531,z=-15483..14227
on x=36826..54405,y=-20485..7380,z=-72157..-47606
off x=-20743..-3694,y=60611..79298,z=-41029..-19706
on x=38907..70146,y=7811..21286,z=51373..75647
off x=49222..66517,y=-49759..-35764,z=14426..44140
off x=-12705..11874,y=71795..94495,z=-24006..5244
on x=70619..84743,y=-15740..-5535,z=988..15465
on x=-57587..-36566,y=-16761..1242,z=41704..69236
on x=-62642..-51259,y=-22327..11708,z=51224..77563
off x=-81060..-62858,y=-24529..-2660,z=3835..21978
off x=-70254..-55387,y=17045..40077,z=15173..29260
on x=-90190..-77042,y=-697..14239,z=13614..21009
on x=-80960..-70811,y=3307..14179,z=4556..19502
off x=19158..46592,y=-4693..33947,z=-83752..-54507
on x=-21682..-4569,y=59234..90755,z=11972..44965
on x=-67567..-51756,y=38151..63381,z=-4232..27938
off x=-13638..-1086,y=61080..86885,z=-39380..-7954
on x=50083..84292,y=35295..51707,z=4034..18846
off x=16533..38615,y=-85175..-66224,z=-22455..9799
on x=53200..79595,y=-47580..-38551,z=-30190..6241
off x=-30315..-451,y=30790..49561,z=-67467..-58560
on x=1488..34344,y=-21975..-2977,z=59153..93816
